%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.position0,field.position1,field.velocity0,field.velocity1,field.effort0,field.effort1
1636487978799817869,6484,1636487978798591221,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487978900496774,6485,1636487978898675236,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487979001298405,6486,1636487978998703672,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487979101208202,6487,1636487979098673508,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487979200700955,6488,1636487979198793425,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487979301572182,6489,1636487979298720215,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487979400396791,6490,1636487979398683149,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487979501333599,6491,1636487979498684401,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487979601154317,6492,1636487979598671816,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487979701022950,6493,1636487979698680507,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487979800030887,6494,1636487979798715919,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487979900848260,6495,1636487979898739555,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487980001205330,6496,1636487979998731747,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487980101049941,6497,1636487980098824110,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487980202433881,6498,1636487980198683663,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487980301260563,6499,1636487980298682355,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487980401197007,6500,1636487980398721517,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487980500175251,6501,1636487980498620454,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487980600875910,6502,1636487980598729875,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487980699179391,6503,1636487980698631707,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487980799306358,6504,1636487980798577236,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487980901286994,6505,1636487980898682705,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487981002692253,6506,1636487980998719508,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487981099545295,6507,1636487981098588417,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487981202647615,6508,1636487981198711565,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487981299458412,6509,1636487981298749614,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487981400788954,6510,1636487981398688116,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487981502594861,6511,1636487981498699728,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487981601264322,6512,1636487981598699099,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487981702700620,6513,1636487981698747856,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487981798845825,6514,1636487981798600447,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
1636487981899208059,6515,1636487981898582717,,left_wheel_joint,right_wheel_joint,840.945678711,1081.31555176,0.0,0.0,0.0,0.0
