%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1636841683915964956,145954,1636841683915548692,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00261799387799,0.00174532925199,-0.00349065850399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.064746,0.258984,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841683935501036,145955,1636841683935244389,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00523598775598,-0.00174532925199,-0.00436332312999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097119,0.161865,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841683956329445,145956,1636841683955944256,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00349065850399,-0.00349065850399,-0.011344640138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.226611,-9.582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841683975775402,145957,1636841683975254605,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00436332312999,0.010471975512,-0.00785398163397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097119,0.194238,-9.550035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841683995419945,145958,1636841683995235217,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00610865238198,-0.00959931088597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.226611,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841684016841287,145959,1636841684015223068,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00959931088597,0.01308996939,0.00785398163397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291357,0.161865,-9.582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841684035470925,145960,1636841684035237704,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00349065850399,0.00349065850399,-0.0157079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.258984,-9.582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841684055676542,145961,1636841684055522715,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00174532925199,-0.00261799387799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.097119,0.194238,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841684075970326,145962,1636841684075619054,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00610865238198,0.00785398163397,-0.00785398163397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.097119,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636841684095408403,145963,1636841684095239573,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00698131700798,0.0,-0.00523598775598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.194238,-9.582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
