%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1637022417299826839,1584,1637022417298641726,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000872664625997,0.00872664625997,-0.010471975512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.161865,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417316468046,1585,1637022417315997176,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00261799387799,0.00174532925199,-0.00959931088597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.226611,-9.744273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417336094071,1586,1637022417335885176,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00349065850399,0.00872664625997,-0.00698131700798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.194238,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417356038756,1587,1637022417355840469,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00523598775598,-0.00698131700798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097119,0.097119,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417375923424,1588,1637022417375822787,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00436332312999,0.00872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.32373,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417396204113,1589,1637022417395882797,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00349065850399,0.00261799387799,-0.00698131700798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.129492,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417416018050,1590,1637022417415876767,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00436332312999,0.0,-0.00698131700798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226611,0.161865,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417436017697,1591,1637022417435860265,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00261799387799,0.0,-0.0174532925199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.194238,-9.679527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417456110665,1592,1637022417455905079,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000872664625997,0.000872664625997,-0.00959931088597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.129492,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417476141728,1593,1637022417475992702,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01308996939,0.000872664625997,-0.00610865238198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097119,0.097119,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417496608021,1594,1637022417496176800,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000872664625997,0.01308996939,-0.00610865238198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064746,0.258984,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417519019836,1595,1637022417518231452,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00610865238198,0.00261799387799,-0.00872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.129492,-9.582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417537196717,1596,1637022417536604294,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00349065850399,0.0,-0.011344640138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.129492,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417559423223,1597,1637022417558870193,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00610865238198,0.00174532925199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.129492,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417578528719,1598,1637022417576632775,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00698131700798,-0.00261799387799,-0.00261799387799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.161865,-9.970884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417598314336,1599,1637022417597748160,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00698131700798,-0.00349065850399,-0.00174532925199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.258984,-9.420543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417617296675,1600,1637022417617024462,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00523598775598,0.00436332312999,-0.00349065850399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.129492,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417636956912,1601,1637022417636494073,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00349065850399,0.0,0.00436332312999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097119,0.161865,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417656613769,1602,1637022417656475324,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00174532925199,-0.00698131700798,-0.00523598775598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517968,0.161865,-9.679527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417676037090,1603,1637022417675861053,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00610865238198,-0.00349065850399,-0.01308996939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226611,0.161865,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417696360166,1604,1637022417696109459,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00872664625997,0.00349065850399,-0.00174532925199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.226611,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417716179280,1605,1637022417716032428,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00523598775598,-0.012217304764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.161865,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417736015445,1606,1637022417735882473,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00174532925199,0.00785398163397,-0.00872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.226611,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417755992988,1607,1637022417755888311,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00349065850399,0.00698131700798,-0.014835298642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.161865,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417776186625,1608,1637022417776029134,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00174532925199,0.00174532925199,-0.000872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.129492,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417796421246,1609,1637022417796060494,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00436332312999,0.00959931088597,-0.00872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.291357,-9.485289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417816504546,1610,1637022417816345037,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00698131700798,0.00349065850399,-0.00174532925199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417836323848,1611,1637022417836136270,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00261799387799,0.00349065850399,-0.00523598775598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226611,0.194238,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417856369636,1612,1637022417856058439,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000872664625997,0.00872664625997,-0.00785398163397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097119,0.194238,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417876293973,1613,1637022417876099816,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00785398163397,0.0,-0.00349065850399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226611,0.129492,-9.679527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417896540073,1614,1637022417896169517,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00523598775598,0.01308996939,-0.00436332312999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.129492,-9.7119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417916781360,1615,1637022417916145667,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00349065850399,0.00959931088597,-0.014835298642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.161865,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417937194467,1616,1637022417936251600,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00698131700798,0.00698131700798,-0.00785398163397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417956640786,1617,1637022417956100528,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00785398163397,0.00872664625997,0.00436332312999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.226611,-9.7119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417976357027,1618,1637022417976084997,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01308996939,0.0,0.00610865238198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.194238,-9.582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417996590804,1619,1637022417996151201,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00174532925199,-0.00523598775598,-0.00436332312999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32373,0.226611,-9.679527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418017042456,1620,1637022418016259409,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00610865238198,-0.00610865238198,-0.010471975512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.194238,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418036331191,1621,1637022418036026286,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00785398163397,0.011344640138,-0.00261799387799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.161865,-9.679527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418056921445,1622,1637022418055900344,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014835298642,-0.00785398163397,-0.00349065850399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.226611,-9.7119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418076168865,1623,1637022418075940036,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000872664625997,0.000872664625997,-0.00698131700798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.161865,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418096333498,1624,1637022418095903400,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00349065850399,-0.00174532925199,-0.00872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064746,0.129492,-9.679527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418116077323,1625,1637022418115860313,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00261799387799,0.00610865238198,-0.00261799387799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.129492,-9.679527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418135989265,1626,1637022418135889963,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00872664625997,0.00174532925199,-0.00523598775598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.194238,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418155968610,1627,1637022418155867732,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00261799387799,0.00523598775598,-0.00436332312999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.129492,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418176174065,1628,1637022418175996954,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00261799387799,-0.00174532925199,-0.0270526034059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.194238,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418196426560,1629,1637022418196142812,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00261799387799,0.00785398163397,-0.00523598775598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388476,0.129492,-9.582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418216724482,1630,1637022418216128261,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010471975512,0.00959931088597,-0.00261799387799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.161865,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418236359153,1631,1637022418236111273,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000872664625997,0.013962634016,-0.010471975512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.226611,-9.679527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418257151534,1632,1637022418256528045,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000872664625997,-0.00698131700798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064746,-0.032373,-9.582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418276522962,1633,1637022418276096616,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00436332312999,0.00959931088597,0.01308996939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.194238,-9.744273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418296630345,1634,1637022418296159281,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00174532925199,0.00261799387799,-0.00349065850399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258984,0.161865,-9.744273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418316568357,1635,1637022418316105887,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00698131700798,0.000872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.129492,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418336238345,1636,1637022418335925842,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00174532925199,-0.00698131700798,-0.00610865238198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.0,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418355994729,1637,1637022418355878482,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00349065850399,0.00261799387799,0.00261799387799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.194238,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418376022628,1638,1637022418375906230,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.161865,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418396050954,1639,1637022418395827937,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010471975512,0.00698131700798,-0.00785398163397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.161865,-9.679527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418416123160,1640,1637022418415863666,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00174532925199,0.00174532925199,-0.00872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032373,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418436098504,1641,1637022418435898849,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00523598775598,-0.00872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032373,0.161865,-9.582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418456159213,1642,1637022418455924125,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013962634016,0.00261799387799,-0.00698131700798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.356103,-9.582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418476207398,1643,1637022418475969693,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000872664625997,0.00959931088597,-0.00610865238198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129492,0.258984,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418496630094,1644,1637022418496204206,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097119,0.226611,-9.582408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418517057823,1645,1637022418516354627,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000872664625997,-0.00610865238198,-0.013962634016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097119,0.194238,-9.7119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418537628108,1646,1637022418536387774,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00174532925199,-0.00523598775598,-0.00261799387799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,0.226611,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418557522371,1647,1637022418556405692,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000872664625997,0.00349065850399,-0.00349065850399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064746,0.161865,-9.550035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418577822284,1648,1637022418577074232,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000872664625997,0.00261799387799,-0.00872664625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161865,0.194238,-9.679527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418597703702,1649,1637022418597293854,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00174532925199,-0.00261799387799,-0.00523598775598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097119,0.194238,-9.647154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418616954901,1650,1637022418616206814,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00523598775598,-0.00436332312999,-0.00436332312999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194238,-0.032373,-9.614781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
